Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,MP
Rafał Leszczyński,pl POL,GK,30-296,9.0,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Caye Quintana,es ESP,"FW,MF",29-058,15.0,9,742.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Łukasz Bejger,pl POL,"DF,MF",21-036,8.0,8,654.0,7.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,0.14,0.0,0.14,0.14,0.14,Matches,
Piotr Samiec-Talar,pl POL,"MF,FW",21-106,10.0,8,492.0,5.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,,,,0.18,0.18,0.37,0.18,0.37,Matches,
Martin Konczkowski,pl POL,"MF,DF",29-155,10.0,7,689.0,7.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.13,0.13,0.0,0.13,Matches,
Dennis Jastrzembski,pl POL,"MF,FW",22-361,16.0,7,597.0,6.6,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,,,,0.15,0.0,0.15,0.15,0.15,Matches,
Javier Hyjek,pl POL,MF,22-035,9.0,3,342.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.26,0.26,0.0,0.26,Matches,
Adrian Łyszczarz,pl POL,MF,23-178,10.0,3,279.0,3.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.32,0.0,0.32,0.32,0.32,Matches,
Adrian Bukowski,pl POL,MF,19-335,4.0,3,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Karol Borys,pl POL,MF,16-141,5.0,2,178.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Michał Rzuchowski,pl POL,FW,29-051,7.0,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Sebastian Bergier,pl POL,FW,23-058,7.0,0,101.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,Matches,
Jakub Lutostanski,pl POL,FW,18-152,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Oskar Mielcarz,pl POL,GK,18-308,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Mateusz Stawny,pl POL,DF,19-116,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Olivier Wypart,pl POL,DF,22-031,0.0,0,,,,,,,,,,,,,,,,,,,Matches,
Squad Total,,,26.6,20.0,220,1800.0,20.0,18.0,13.0,31.0,15.0,3.0,5.0,37.0,3.0,,,,0.9,0.65,1.55,0.75,1.4,,
